Quarter,Series,Seasonality adjustment,Region,Region Code,Industry,Industry Code,Value,Value Unit,Value Label
2022 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",940.1,nzd,NZD millions
2023 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",934,nzd,NZD millions
2023 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",943.9,nzd,NZD millions
2023 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",927.6,nzd,NZD millions
2024 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",941.7,nzd,NZD millions
2024 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",914.9,nzd,NZD millions
2024 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",906.8,nzd,NZD millions
2024 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",933.2,nzd,NZD millions
2025 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",937.7,nzd,NZD millions
2011 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",544.4,nzd,NZD millions
2011 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",540.3,nzd,NZD millions
2011 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",533.9,nzd,NZD millions
2012 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",533,nzd,NZD millions
2012 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",539.1,nzd,NZD millions
2012 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",542.1,nzd,NZD millions
2012 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",543.8,nzd,NZD millions
2013 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",547.7,nzd,NZD millions
2013 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",550.7,nzd,NZD millions
2013 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",557.3,nzd,NZD millions
2013 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",562.6,nzd,NZD millions
2014 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",562.7,nzd,NZD millions
2014 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",564.2,nzd,NZD millions
2014 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",575.3,nzd,NZD millions
2014 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",591.3,nzd,NZD millions
2015 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",600.5,nzd,NZD millions
2015 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",601.1,nzd,NZD millions
2015 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",605.7,nzd,NZD millions
2015 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",616.9,nzd,NZD millions
2016 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",628.5,nzd,NZD millions
2016 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",643.1,nzd,NZD millions
2016 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",654,nzd,NZD millions
2016 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",663.6,nzd,NZD millions
2017 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",676.1,nzd,NZD millions
2017 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",687,nzd,NZD millions
2017 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",686.7,nzd,NZD millions
2017 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",689.7,nzd,NZD millions
2018 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",703.4,nzd,NZD millions
2018 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",713.4,nzd,NZD millions
2018 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",723,nzd,NZD millions
2018 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",734.6,nzd,NZD millions
2019 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",739.4,nzd,NZD millions
2019 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",741.7,nzd,NZD millions
2019 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",749.1,nzd,NZD millions
2019 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",756.7,nzd,NZD millions
2020 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",766.6,nzd,NZD millions
2020 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",779.9,nzd,NZD millions
2020 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",798.3,nzd,NZD millions
2020 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",813.5,nzd,NZD millions
2021 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",826.9,nzd,NZD millions
2021 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",842.2,nzd,NZD millions
2021 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",865.7,nzd,NZD millions
2021 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",891.8,nzd,NZD millions
2022 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",916.4,nzd,NZD millions
2022 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",935.2,nzd,NZD millions
2022 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",929.3,nzd,NZD millions
2023 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",922.3,nzd,NZD millions
2023 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",933.6,nzd,NZD millions
2023 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",938.2,nzd,NZD millions
2023 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",937,nzd,NZD millions
2024 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",932.1,nzd,NZD millions
2024 Q2,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",918.1,nzd,NZD millions
2024 Q3,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",912.1,nzd,NZD millions
2024 Q4,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",927.1,nzd,NZD millions
2025 Q1,Sales by region in current prices (SAFC),Trend,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",941.7,nzd,NZD millions
2011 Q2,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",5519.9,nzd,NZD millions
2011 Q3,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",5775.3,nzd,NZD millions
2011 Q4,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6474.9,nzd,NZD millions
2012 Q1,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",5791.8,nzd,NZD millions
2012 Q2,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",5915.5,nzd,NZD millions
2012 Q3,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",5970.6,nzd,NZD millions
2012 Q4,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6786.2,nzd,NZD millions
2013 Q1,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6135,nzd,NZD millions
2013 Q2,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6247.2,nzd,NZD millions
2013 Q3,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6295,nzd,NZD millions
2013 Q4,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",7171.1,nzd,NZD millions
2014 Q1,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6494.7,nzd,NZD millions
2014 Q2,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6393.7,nzd,NZD millions
2014 Q3,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6520.9,nzd,NZD millions
2014 Q4,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",7599.7,nzd,NZD millions
2015 Q1,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6961.9,nzd,NZD millions
2015 Q2,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",6870.7,nzd,NZD millions
2015 Q3,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",7250.5,nzd,NZD millions
2015 Q4,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",8376.2,nzd,NZD millions
2016 Q1,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",7648,nzd,NZD millions
2016 Q2,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",7695.7,nzd,NZD millions
2016 Q3,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",7804,nzd,NZD millions
2016 Q4,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",8852.5,nzd,NZD millions
2017 Q1,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",8089.4,nzd,NZD millions
2017 Q2,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",8026.8,nzd,NZD millions
2017 Q3,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",8101.7,nzd,NZD millions
2017 Q4,Sales by region in current prices (SAFC),Actual,Auckland,Auckland Region,"All retail trade, accommodation and food services","G,H",9231.7,nzd,NZD millions
